1895  8  -0.2340   0.159
1895  9  -0.1219   0.145
1895 10  -0.1297   0.165
1895 11  -0.1599   0.136
1895 12  -0.1124   0.155
1896  1  -0.1357   0.170
1896  2  -0.0830   0.164
1896  3  -0.2103   0.170
1896  4  -0.2860   0.175
1896  5  -0.0976   0.133
1896  6  -0.1121   0.153
1896  7  -0.0833   0.169
1896  8  -0.0547   0.148
1896  9  -0.0532   0.160
1896 10   0.0035   0.170
1896 11  -0.1764   0.127
1896 12   0.0481   0.159
1897  1  -0.1828   0.158
1897  2  -0.1193   0.163
1897  3  -0.2239   0.155
1897  4  -0.0362   0.130
1897  5  -0.0866   0.125
1897  6  -0.1600   0.146
1897  7  -0.0735   0.135
1897  8  -0.1396   0.141
1897  9  -0.0280   0.170
1897 10  -0.1496   0.145
1897 11  -0.2589   0.161
1897 12  -0.2841   0.162
1898  1  -0.0630   0.139
1898  2  -0.2873   0.151
1898  3  -0.6496   0.174
1898  4  -0.3588   0.171
1898  5  -0.2964   0.133
1898  6  -0.1979   0.155
1898  7  -0.2644   0.159
1898  8  -0.2539   0.164
1898  9  -0.2365   0.171
1898 10  -0.3491   0.157
1898 11  -0.2889   0.151
1898 12  -0.0518   0.152
1899  1  -0.1119   0.126
1899  2  -0.2962   0.144
1899  3  -0.2856   0.138
1899  4  -0.1826   0.137
1899  5  -0.1829   0.154
1899  6  -0.2656   0.145
1899  7  -0.2001   0.148
1899  8  -0.1192   0.138
1899  9  -0.0544   0.138
1899 10  -0.0761   0.145
1899 11   0.0999   0.137
1899 12  -0.2295   0.128
1900  1  -0.2629   0.163
1900  2  -0.1303   0.160
1900  3  -0.0576   0.152
1900  4  -0.1316   0.133
1900  5  -0.0964   0.127
1900  6  -0.0941   0.126
1900  7  -0.1408   0.142
1900  8  -0.1084   0.158
1900  9  -0.1215   0.172
1900 10  -0.0393   0.146
1900 11  -0.1741   0.171
1900 12  -0.0127   0.131
1901  1  -0.1818   0.140
1901  2  -0.0794   0.156
1901  3  -0.0312   0.165
1901  4  -0.0680   0.157
1901  5  -0.1541   0.141
1901  6  -0.1454   0.172
1901  7  -0.1635   0.139
1901  8  -0.1826   0.141
1901  9  -0.2553   0.155
1901 10  -0.3200   0.158
1901 11  -0.2007   0.141
1901 12  -0.2632   0.162
1902  1  -0.0856   0.151
1902  2  -0.0526   0.148
1902  3  -0.1990   0.164
1902  4  -0.2887   0.133
1902  5  -0.2723   0.128
1902  6  -0.3293   0.165
1902  7  -0.3197   0.157
1902  8  -0.3039   0.169
1902  9  -0.2458   0.129
1902 10  -0.3215   0.172
1902 11  -0.3672   0.135
1902 12  -0.3694   0.158
1903  1  -0.2204   0.152
1903  2  -0.0434   0.161
1903  3  -0.2608   0.149
1903  4  -0.3620   0.159
1903  5  -0.3874   0.135
1903  6  -0.4181   0.128
1903  7  -0.3744   0.131
1903  8  -0.4248   0.128
1903  9  -0.3952   0.159
1903 10  -0.4927   0.128
1903 11  -0.4484   0.139
1903 12  -0.4317   0.144
